RowID	Path	Record	RecordBytes	English	Korean	Status	Note
58	Data/NPCData/059.EDT	4	480	The people of Arulco have forgotten what freedom is.	아룰코 사람들은 자유가 뭔지도 잊어버렸어.	번역완료	critical prefill
59	Data/NPCData/059.EDT	5	480	Keep it.	가져.	번역완료	critical prefill
60	Data/NPCData/059.EDT	6	480	The rebel force is a dedicated one. Unfortunately, there are only a few of us left.	반군은 정말 헌신적이야. 문제는 이제 몇 명 남지 않았다는 거지.	번역완료	critical prefill
61	Data/NPCData/059.EDT	7	480	Such an attitude serves no purpose.	그런 태도는 아무 도움도 안 돼.	번역완료	critical prefill
62	Data/NPCData/059.EDT	8	480	Sounds interesting, but I'm not sure of you.	흥미롭긴 한데, 아직 당신들을 믿어도 될지 모르겠어.	번역완료	critical prefill
63	Data/NPCData/059.EDT	9	480	I am in need of... medical attention.	나... 치료가 필요해.	번역완료	critical prefill
64	Data/NPCData/059.EDT	10	480	I have nothing left to say.	더 할 말 없어.	번역완료	critical prefill
65	Data/NPCData/059.EDT	11	480	She is evil. A driven bitch.	그년은 악마야. 독기만 가득한 년이지.	번역완료	critical prefill
66	Data/NPCData/059.EDT	12	480	Miguel's rebel force has been together for almost two decades. They are trustworthy and loyal. They will accept you as one of their own as long as you do no harm.	미겔의 반군은 거의 20년 동안 함께 싸워 왔어. 믿을 수 있고 충성스러운 사람들이야. 당신들이 해를 끼치지만 않는다면 자기들 사람처럼 받아줄 거야.	번역완료	critical prefill
67	Data/NPCData/059.EDT	13	480	All right. I could be of help with some of the ins and outs of this country and its people. But I must tell you... I'm not a professional like you guys.	좋아. 이 나라 사정이나 사람들에 대해선 내가 좀 도움이 될 수 있을 거야. 하지만 말해두는데... 난 당신들 같은 전문가는 아니야.	번역완료	critical prefill
68	Data/NPCData/059.EDT	14	480	I'm afraid my marksmanship is a little weak for a soldier. Miguel used me mostly as a medic and a look out. Anyways, I'm sure we'll make out okay. Let's get going... I'll lead the way.	군인치고는 사격 솜씨가 좀 부족해. 미겔은 날 주로 의무병이나 감시병으로 썼어. 뭐, 그래도 잘 해낼 수 있을 거야. 가자... 내가 앞장설게.	번역완료	critical prefill
69	Data/NPCData/059.EDT	15	480	You will pay for what you've done!	네가 한 짓의 대가를 치르게 해주지!	번역완료	critical prefill
70	Data/NPCData/059.EDT	16	480	Hmm. Thanks.	흠. 고마워.	번역완료	critical prefill
71	Data/NPCData/060.EDT	1	480	Yes...	그래...	번역완료	critical prefill
72	Data/NPCData/060.EDT	2	480	Good to see you.	봐서 반갑다.	번역완료	critical prefill
73	Data/NPCData/060.EDT	3	480	I cannot be of more help.	더 도와줄 수 없다.	번역완료	critical prefill
74	Data/NPCData/060.EDT	4	480	Me, I am guard. It is what I do best.	나, 경비한다. 그게 내가 제일 잘한다.	번역완료	critical prefill
75	Data/NPCData/060.EDT	5	480	I do not want it.	나 이거 원하지 않는다.	번역완료	critical prefill
76	Data/NPCData/060.EDT	6	480	I do not know.	나 모른다.	번역완료	critical prefill
77	Data/NPCData/060.EDT	7	480	Yelling will change nothing. I know nothing...	소리쳐도 달라지는 것 없다. 나 아무것도 모른다...	번역완료	critical prefill
78	Data/NPCData/060.EDT	8	480	I stay with Miguel. He must decide.	나 미겔과 남는다. 그가 결정해야 한다.	번역완료	critical prefill
79	Data/NPCData/060.EDT	9	480	I bleed... Hurts much.	피 난다... 많이 아프다.	번역완료	critical prefill
80	Data/NPCData/060.EDT	10	480	I do not have time.	나 시간 없다.	번역완료	critical prefill
81	Data/NPCData/060.EDT	11	480	Why have you brought them here? Have you lost your mind, woman? You bring death to all of us.	왜 이 사람들 여기 데려왔나? 정신 나갔나, 여자? 우리 모두 죽게 만든다.	번역완료	critical prefill
82	Data/NPCData/060.EDT	12	480	In respect of your husband, I take your word. We will go down. But if you make mistake, Fatima, you will die with them.	네 남편 생각해서 말 믿겠다. 내려가겠다. 하지만 실수한 거면, 파티마, 너도 이들과 같이 죽는다.	번역완료	critical prefill
83	Data/NPCData/060.EDT	13	480	I would like this. I can learn much.	이거 좋다. 나 많이 배울 수 있다.	번역완료	critical prefill
84	Data/NPCData/060.EDT	14	480	Fatima say they are here to help us. She say she have proof, Carlos.	파티마가 이 사람들이 우리 도우러 왔다고 한다. 증거도 있다고 한다, 카를로스.	번역완료	critical prefill
85	Data/NPCData/060.EDT	15	480	You will pay for your mistake with your life!	네 실수 목숨으로 갚는다!	번역완료	critical prefill
86	Data/NPCData/060.EDT	16	480	You have impressed Miguel. He speaks highly of you.	미겔이 네게 감명받았다. 너 칭찬 많이 한다.	번역완료	critical prefill
87	Data/NPCData/060.EDT	17	480	I like money.	나 돈 좋다.	번역완료	critical prefill
88	Data/NPCData/061.EDT	1	480	Top of the day to ya. Haven't made yer acquaintance.	좋은 하루군. 초면인 것 같은데.	번역완료	
89	Data/NPCData/061.EDT	2	480	Enjoy me company, ya do.	내가 옆에 있으니 즐겁지?	번역완료	
90	Data/NPCData/061.EDT	3	480	Aye, sometimes I wonder why I ever left me homeland.	그래, 가끔은 내가 왜 고향을 떠났나 싶을 때가 있지.	번역완료	
91	Data/NPCData/061.EDT	4	480	Aye, the market for explosives is boomin'. They be hard to get a hold of, don't ya know.	그래, 요즘 폭발물 장사가 아주 잘 나가. 물건 구하기가 영 쉽지 않거든.	번역완료	
92	Data/NPCData/061.EDT	5	480	No thank ya. What would I be needin' with that?	아니, 사양하지. 내가 그걸 어디에 쓰겠어?	번역완료	
93	Data/NPCData/061.EDT	6	480	Not really one for company, not that there's much here. You got Brits, ugly broads and bugs. What kind of place be that?	난 원래 사람들과 어울리는 걸 그리 좋아하진 않아. 여기엔 뭐 별것도 없잖아. 영국 놈들, 못생긴 여자들, 벌레들뿐이야. 이게 무슨 동네냐고?	번역완료	
94	Data/NPCData/061.EDT	7	480	Do ya know who yer talking ta here? Devin Connell! You might want to show a wee bit of respect.	지금 누구랑 얘기하는지 알아? 데빈 코넬이야! 예의를 좀 갖추는 게 좋을걸.	번역완료	
95	Data/NPCData/061.EDT	8	480	Aye, no. You ain't tappin' me confidence.	아니, 됐어. 아직 자네를 믿을 만큼은 아니야.	번역완료	
96	Data/NPCData/061.EDT	9	480	Need a bandaging now!	당장 붕대 좀 감아줘!	번역완료	
97	Data/NPCData/061.EDT	10	480	I suppose me presence has delighted you long enough now.	이제 내 존재만으로 자네를 즐겁게 해준 건 충분한 것 같군.	번역완료	
98	Data/NPCData/061.EDT	11	480	Maybe ya'd fancy a look at me wares before you be shelling out the dough.	돈을 내기 전에 내 물건부터 한번 구경하는 게 어때?	번역완료	
99	Data/NPCData/061.EDT	12	480	Aye, everything is first-hand from the top experts in the field.	그래, 전부 이 분야 최고 전문가들에게서 직접 구한 물건들이지.	번역완료	
100	Data/NPCData/061.EDT	13	480	Guaranteed best prices ya get from me.	내가 주는 값이 최저가라는 건 보장하지.	번역완료	
101	Data/NPCData/061.EDT	14	480	I've never done a dishonest deal in me life. Ya can trust me!	난 평생 부정직한 거래는 한 번도 안 했어. 날 믿어도 돼!	번역완료	
102	Data/NPCData/061.EDT	15	480	I wasn't looking to buy anything, ya know.	난 뭘 사려고 온 게 아니라고.	번역완료	
103	Data/NPCData/061.EDT	16	480				
104	Data/NPCData/061.EDT	17	480				
105	Data/NPCData/061.EDT	18	480	"Aye, I'm only interested in things which go ""boom"" me friend."	그래, 난 '펑' 하고 터지는 물건에만 관심이 있거든, 친구.	번역완료	
106	Data/NPCData/061.EDT	19	480				
107	Data/NPCData/061.EDT	20	480				
108	Data/NPCData/061.EDT	21	480				
109	Data/NPCData/061.EDT	22	480	You'll be needing to top this off with a few more dollars.	여기에 돈을 조금 더 얹어야겠는데.	번역완료	
110	Data/NPCData/061.EDT	23	480	Great. The deal's done, then.	좋아. 그럼 거래 성립이군.	번역완료	
111	Data/NPCData/061.EDT	24	480	Let me see. Aye... aye, it's all here. Perfect!	어디 보자. 그래... 그래, 전부 있군. 완벽해!	번역완료	
112	Data/NPCData/061.EDT	25	480	Yer a fine customer. Give ya an ever better deal next time.	자넨 좋은 손님이야. 다음에는 더 좋은 값으로 해주지.	번역완료	
113	Data/NPCData/061.EDT	26	480	Window shoppin' won't get ya far.	구경만 해서는 얻는 게 없어.	번역완료	
114	Data/NPCData/061.EDT	27	480	Ya leaving this behind, then.	그건 두고 가는 거지?	번역완료	
115	Data/NPCData/061.EDT	28	480	Blimey bastard!	빌어먹을 자식!	번역완료	
116	Data/NPCData/061.EDT	29	480	Many thanks. May the devil forget you exist.	고맙군. 악마도 자네가 있다는 걸 잊어버리길 빌지.	번역완료	
117	Data/NPCData/061.EDT	30	480	The name's Devin Connell. You be lucky ya bumped into me. I have a fine selection of goods that ya might be interested in. Things that go bang be me specialty.	이름은 데빈 코넬이야. 나랑 마주친 걸 행운으로 알아. 자네가 관심 가질 만한 좋은 물건들이 꽤 있거든. '쾅' 하는 물건이 내 전문이지.	번역완료	
118	Data/NPCData/061.EDT	31	480	And I only be handlin' the ones that go bang when they're supposed to. Got a few things to show ya, ya never know if ya be interested.	그리고 난 터져야 할 때 제대로 터지는 물건만 취급해. 보여줄 게 좀 있으니 봐둬. 혹시 마음에 들지 누가 알아?	번역완료	
119	Data/NPCData/061.EDT	32	480	Aye. I could put some of me explosive knowledge to practice. Knowledge like that don't come on the cheap, ya know. And ya be asking me to turn me back on a highly profitable business.	그래. 내 폭발물 지식을 실전에 써먹을 수도 있지. 하지만 그런 지식은 싸게 얻은 게 아니야. 게다가 자네는 지금 나더러 아주 짭짤한 장사를 접으라는 거잖아.	번역완료	
120	Data/NPCData/061.EDT	33	480	It be settled then. I be workin' with ya.	좋아, 결정됐군. 자네들과 일하지.	번역완료	
121	Data/NPCData/061.EDT	34	480	Aye. No hard feelings. I can still be takin' care of your explosive needs.	그래. 섭섭한 건 없어. 폭발물이 필요하면 여전히 내가 챙겨줄 수 있으니까.	번역완료	
122	Data/NPCData/061.EDT	35	480	You can count on me for nothin' 'til your debt be paid.	빚을 갚기 전까지는 내게 아무것도 기대하지 마.	번역완료	
123	Data/NPCData/061.EDT	36	480	That be encouraging.	그건 고무적인 소식이군.	번역완료	
124	Data/NPCData/061.EDT	37	480	You best be takin' care of your business before we can do any.	우리끼리 무슨 거래를 하려면 먼저 자네 볼일부터 처리하는 게 좋겠어.	번역완료	
125	Data/NPCData/063.EDT	1	480	Me name is Hamous.	내 이름 하무스다.	번역완료	
126	Data/NPCData/063.EDT	2	480	Is good to see amigo.	다시 봐서 좋다, 친구.	번역완료	
127	Data/NPCData/063.EDT	3	480	Me like country. It make me think of home.	나 시골 좋다. 고향 생각난다.	번역완료	
128	Data/NPCData/063.EDT	4	480	You got something in your teeth. Like meat or something.	이빨에 뭐 끼었다. 고기 같은 거.	번역완료	
129	Data/NPCData/063.EDT	5	480	Me no want dis.	나 이거 싫다.	번역완료	
130	Data/NPCData/063.EDT	6	480	Me miss Metavira. Me miss Mister Jack sometime.	나 메타비라 그립다. 가끔 미스터 잭도 그립다.	번역완료	
131	Data/NPCData/063.EDT	7	480	Me no do nothing. You mad for nothing.	나 아무것도 안 했다. 너 괜히 화낸다.	번역완료	
132	Data/NPCData/063.EDT	8	480	No. Me no want to work with YOU.	싫다. 나 너랑 일하기 싫다.	번역완료	
133	Data/NPCData/063.EDT	9	480	Me hurt... bad.	나 다쳤다... 많이.	번역완료	
134	Data/NPCData/063.EDT	10	480	Me must go.	나 가야 한다.	번역완료	
135	Data/NPCData/063.EDT	11	480	Blood stop. Thank you.	피 멈췄다. 고맙다.	번역완료	
136	Data/NPCData/063.EDT	12	480	Naughty person...	나쁜 사람...	번역완료	
137	Data/NPCData/063.EDT	13	480	It be long time. Me want to do it again. We can use truck. No more hurting feet. Me ask for only small cost.	오래됐다. 나 다시 해보고 싶다. 트럭 쓰면 된다. 이제 발 안 아프다. 돈 조금만 받는다.	번역완료	
138	Data/NPCData/063.EDT	14	480	Me make big travels. See world in truck me borrow from stranger. No save enough money to buy one. Me have much fun. Meet people.	나 여행 많이 했다. 낯선 사람한테 빌린 트럭 타고 세상 봤다. 내 트럭 살 돈은 못 모았다. 그래도 아주 재밌었다. 사람들도 많이 만났다.	번역완료	
139	Data/NPCData/063.EDT	15	480	Is funny that I see mercenary men here, yes? It bring back much good memory. I miss some of dese men very much.	여기 용병들 보니까 이상하게 웃긴다, 그렇지? 좋은 기억 많이 난다. 그 사람들 몇 명은 정말 많이 그립다.	번역완료	
140	Data/NPCData/063.EDT	16	480	Okay, me ready now.	좋다, 나 이제 준비됐다.	번역완료	
141	Data/NPCData/063.EDT	17	480	Me sorry. For little while me visit Arulco. Maybe you change mind.	미안하다. 나 잠깐 아룰코 돌아다닌다. 어쩌면 너 마음 바뀐다.	번역완료	
142	Data/NPCData/063.EDT	18	480	You owe me money. When you pay?	너 나한테 돈 빚졌다. 언제 갚나?	번역완료	
143	Data/NPCData/063.EDT	19	480	Me no have money. Thank you.	나 돈 없다. 고맙다.	번역완료	
144	Data/NPCData/063.EDT	20	480	Talk after naughty men die..	나쁜 놈들 죽인 다음 이야기한다.	번역완료	
145	Data/NPCData/064.EDT	1	480	Hello.	안녕.	번역완료	
146	Data/NPCData/064.EDT	2	480	We meet again. How nice.	또 만났군. 반갑네.	번역완료	
147	Data/NPCData/064.EDT	3	480	I understand the necessity of war. But it just seems this whole thing could have been settled... with an assassination.	전쟁이 필요하다는 건 이해하지. 하지만 이 모든 일은... 암살 한 번이면 해결될 수도 있었을 것 같은데.	번역완료	
148	Data/NPCData/064.EDT	4	480	You're the hired guns I've heard of. I have a lot of respect for your line of work.	소문으로 듣던 고용된 총잡이들이군. 자네들 같은 일을 하는 사람들은 존중하지.	번역완료	
149	Data/NPCData/064.EDT	5	480	I don't want it.	필요 없어.	번역완료	
150	Data/NPCData/064.EDT	6	480	I came down here to get away from it all. Finding myself in the middle of a war makes me nervous as hell. The Americans will come. They always come to a war! I don't like the Americans.	난 이 모든 걸 피해 여기까지 내려왔어. 그런데 한복판이 전쟁터라니 죽도록 신경 쓰이는군. 미국 놈들도 올 거야. 전쟁만 나면 늘 오잖아! 난 미국 놈들이 싫어.	번역완료	
151	Data/NPCData/064.EDT	7	480	In case you hadn't noticed, I have a gun. Perhaps we can talk like professionals here.	눈치챘는지 모르겠지만 나도 총이 있어. 여기서는 전문가답게 이야기하는 게 어떨까.	번역완료	
152	Data/NPCData/064.EDT	8	480	No. Wasn't part of my plans.	아니. 내 계획에는 없었어.	번역완료	
153	Data/NPCData/064.EDT	9	480	I need a doctor...	의사가 필요해...	번역완료	
154	Data/NPCData/064.EDT	10	480	Good talking to you.	얘기 즐거웠네.	번역완료	
155	Data/NPCData/064.EDT	11	480	Appreciated.	고맙군.	번역완료	
156	Data/NPCData/064.EDT	12	480	You should have backed out when you had the chance!	기회가 있을 때 빠졌어야지!	번역완료	
157	Data/NPCData/064.EDT	13	480	Stop! Okay, you know who I am. We can make a deal. How would you like to have the use of my talents? I'm an excellent sniper. Very comfortable on rooftops. Can pick off just about anything you want.	잠깐! 좋아, 내가 누군지 아는군. 거래를 하지. 내 재능을 써볼 생각은 없나? 난 뛰어난 저격수야. 지붕 위에서도 아주 편하고. 원하는 건 거의 뭐든 골라서 쓰러뜨릴 수 있지.	번역완료	
158	Data/NPCData/064.EDT	14	480	I tell you what... I'll give you a week. You get the services of Richard Ruttwen, free of charge, for one week. Then, we're even, and I walk. If you know anything about my reputation, you won't pass on the chance.	이렇게 하지... 일주일을 주겠어. 리처드 러트웬의 능력을 딱 일주일 동안 공짜로 쓰는 거야. 그러면 빚은 끝이고 난 떠난다. 내 명성을 조금이라도 안다면 이 기회를 놓치진 않겠지.	번역완료	
159	Data/NPCData/064.EDT	15	480	Okay... We got a deal. Just treat me like any of the others.	좋아... 거래 성립이군. 다른 사람들과 똑같이 대해줘.	번역완료	
160	Data/NPCData/064.EDT	16	480	You deceitful bastard!	이 비열한 자식!	번역완료	
161	Data/NPCData/064.EDT	17	480	Don't be expecting me to do anything for it.	그걸 줬다고 내가 뭘 해줄 거라 기대하진 마.	번역완료	
162	Data/NPCData/064.EDT	18	480	Still a lot of fighting going on here. Not a good time to be talking.	아직 총성이 꽤 들리는군. 지금은 이야기할 때가 아니야.	번역완료	
