Layer	Family	Path	Record	Offset	DecodedText
Data	MercEdt	Patch/Data/MercEdt/017.edt	35	0x00003FC0	Ever since my brother hid a spider in my bed when I was two, I've had a phobia about insects... especially large, grotesque ones.
Data	MercEdt	Patch/Data/MercEdt/017.edt	36	0x000041A0	Everything's taken care of.
Data	MercEdt	Patch/Data/MercEdt/017.edt	37	0x00004380	Get a grunt to do that.
Data	MercEdt	Patch/Data/MercEdt/017.edt	38	0x00004560	Honestly Deidranna, underneath all that make-up...you're a mess!
Data	MercEdt	Patch/Data/MercEdt/017.edt	39	0x00004740	Not everybody's cut out to be a mother... bitch.
Data	MercEdt	Patch/Data/MercEdt/017.edt	40	0x00004920	What lowlife scum!
Data	MercEdt	Patch/Data/MercEdt/017.edt	41	0x00004B00	I can't believe I'm wasting my time in this hellhole.
Data	MercEdt	Patch/Data/MercEdt/017.edt	42	0x00004CE0	This outfit needs a better class of mercenaries, not these bottom-of-the-barrel jackal wannabes.
Data	MercEdt	Patch/Data/MercEdt/017.edt	43	0x00004EC0	Air assault! Watch out!
Data	MercEdt	Patch/Data/MercEdt/017.edt	44	0x000050A0	Can't believe this chintzy equipment.
Data	MercEdt	Patch/Data/MercEdt/017.edt	45	0x00005280	I really should be on a team where all the others can learn from me.
Data	MercEdt	Patch/Data/MercEdt/017.edt	46	0x00005460	Mercs who're sloppy about their personal appearance are liable to be sloppy in combat.
Data	MercEdt	Patch/Data/MercEdt/017.edt	47	0x00005640	Every day, in every way, I get better and better.
Data	MercEdt	Patch/Data/MercEdt/017.edt	48	0x00005820	I think I could certainly come up with a better course of action.
Data	MercEdt	Patch/Data/MercEdt/017.edt	49	0x00005A00	Don't have to be a fortune-teller to know that THAT wasn't going to work.
Data	MercEdt	Patch/Data/MercEdt/017.edt	50	0x00005BE0	Oh, I get the picture. You'd rather hire swimsuit models than capable mercenaries. Well, you can hire Fox if you want, but don't expect me to be happy about it.
Data	MercEdt	Patch/Data/MercEdt/017.edt	51	0x00005DC0	That Reaper guy is dangerous. He's seriously disturbed. I wouldn't be here had I known he was coming.
Data	MercEdt	Patch/Data/MercEdt/017.edt	54	0x00006360	I knew there was something I liked about Sidney. I'm a shrewd judge of character.
Data	MercEdt	Patch/Data/MercEdt/017.edt	55	0x00006540	I need to wait. I'm still not sure how this is going to work out.
Data	MercEdt	Patch/Data/MercEdt/017.edt	56	0x00006720	Oh, no, look, it's Mike. We're in trouble.
Data	MercEdt	Patch/Data/MercEdt/017.edt	57	0x00006900	Curses! I have lost my sense of sight.
Data	MercEdt	Patch/Data/MercEdt/017.edt	58	0x00006AE0	I'm never going to do this.
Data	MercEdt	Patch/Data/MercEdt/017.edt	59	0x00006CC0	Somebody worth talking to.
Data	MercEdt	Patch/Data/MercEdt/017.edt	60	0x00006EA0	We know the enemy is here. They could be planning anything.
Data	MercEdt	Patch/Data/MercEdt/017.edt	61	0x00007080	I know I won't allow myself to be convinced they left the area.
Data	MercEdt	Patch/Data/MercEdt/017.edt	63	0x00007440	Take care of your firearm, and it will take care of you.
Data	MercEdt	Patch/Data/MercEdt/017.edt	64	0x00007620	There's that brat Joey Graham. I should pick him up by his ears.
Data	MercEdt	Patch/Data/MercEdt/017.edt	65	0x00007800	No need to fret, Miguel. You may have absolute confidence in me and my abilities to help you and your rebels.
Data	MercEdt	Patch/Data/MercEdt/017.edt	66	0x000079E0	Good! Everyone's well-placed in the netherworld. Where they all belong!
Data	MercEdt	Patch/Data/MercEdt/017.edt	67	0x00007BC0	Someone has removed some of our supplies. How dare they.
Data	MercEdt	Patch/Data/MercEdt/017.edt	68	0x00007DA0	Sad. Still, I have a feeling it's for the best.
Data	MercEdt	Patch/Data/MercEdt/017.edt	69	0x00007F80	Nice nails!
Data	MercEdt	Patch/Data/MercEdt/017.edt	70	0x00008160	Greatness in action! Brilliance at work. I am elated, excited and fulfilled by my accomplishments. It's everything I ever expected from myself. I did a good job.
Data	MercEdt	Patch/Data/MercEdt/017.edt	71	0x00008340	The enemy knew what they were up against. They've retreated.
Data	MercEdt	Patch/Data/MercEdt/017.edt	72	0x00008520	I'm tired. I'll sleep and be perfect again.
Data	MercEdt	Patch/Data/MercEdt/017.edt	73	0x00008700	I'm off the pillow and back on the job.
Data	MercEdt	Patch/Data/MercEdt/017.edt	74	0x000088E0	Frankly, I'm in the same boat.
Data	MercEdt	Patch/Data/MercEdt/017.edt	75	0x00008AC0	Just perfect! It's broken! How can I operate this way?
Data	MercEdt	Patch/Data/MercEdt/017.edt	76	0x00008CA0	Uh-oh. The perfect trap... for an idiot.
Data	MercEdt	Patch/Data/MercEdt/017.edt	77	0x00008E80	Careful everyone. I'm very skeptical of that.
Data	MercEdt	Patch/Data/MercEdt/017.edt	78	0x00009060	I don't go down on or for anything, and I'm not starting now! Help!
Data	MercEdt	Patch/Data/MercEdt/017.edt	79	0x00009240	All right. I made it safely.
Data	MercEdt	Patch/Data/MercEdt/017.edt	81	0x00009600	Frankly, I'm not encouraged by certain aspects of your command. I'm going to wait to see some improvement, before I consider working for you.
Data	MercEdt	Patch/Data/MercEdt/017.edt	82	0x000097E0	The morgue has been working overtime thanks to you. It is the main factor in my decision. No, thank you.
Data	MercEdt	Patch/Data/MercEdt/017.edt	83	0x000099C0	I'm sorry, I'm taking a refresher course in EMS techniques. I'll be available afterwards.
Data	MercEdt	Patch/Data/MercEdt/017.edt	84	0x00009BA0	If you'd let me know sooner, I might've been able to juggle my schedule. As it stands, I'm signed on for a short stint with another paramilitary unit.
Data	MercEdt	Patch/Data/MercEdt/017.edt	85	0x00009D80	You've reached my video voice mail. Leave me a message. And Gumpy, if this is you, leave another message like the last one, and I'll send you a reply that explodes on impact. I'm not kidding.
Data	MercEdt	Patch/Data/MercEdt/017.edt	86	0x00009F60	If I can do anything else for you, just whistle. You know how to whistle, don't you?
Data	MercEdt	Patch/Data/MercEdt/017.edt	87	0x0000A140	You've got Fox on your team. Obviously, you're more interested in the sizzle than the steak. Call me when you're looking for something more than a pretty face.
Data	MercEdt	Patch/Data/MercEdt/017.edt	88	0x0000A320	You have a man on your team called Reaper. He's a seriously disturbed individual. Some other time, perhaps.
Data	MercEdt	Patch/Data/MercEdt/017.edt	89	0x0000A500	What do you want me for? You've got Gumpy. You're clearly willing to settle for third-rate slobs. Someday, perhaps, you'll learn that just because something's cheap doesn't make it good value.
Data	MercEdt	Patch/Data/MercEdt/017.edt	90	0x0000A6E0	My contract is about to expire. If you like, we can talk about renewing.
Data	MercEdt	Patch/Data/MercEdt/017.edt	91	0x0000A8C0	I guess I'd work with you again. All right. Let's give it another go-around.
Data	MercEdt	Patch/Data/MercEdt/017.edt	92	0x0000AAA0	You've got yourself a deal. You won't regret it.
Data	MercEdt	Patch/Data/MercEdt/017.edt	95	0x0000B040	Well, my mind says no, but I've got a good feeling about Sidney Nettleson. So, I'm going to say yes, and I'm not sure why.
Data	MercEdt	Patch/Data/MercEdt/017.edt	96	0x0000B220	This hasn't been a very positive experience for me. I think I'm underutilized and unrecognized. I'm going to have to say no.
Data	MercEdt	Patch/Data/MercEdt/017.edt	97	0x0000B400	Listen this time. Please...
Data	MercEdt	Patch/Data/MercEdt/017.edt	98	0x0000B5E0	Sorry, your bank had some distressing news.
Data	MercEdt	Patch/Data/MercEdt/017.edt	99	0x0000B7C0	You're serious? Okay. It's your funeral. I'm checking out.
Data	MercEdt	Patch/Data/MercEdt/017.edt	100	0x0000B9A0	The morgue has been working overtime thanks to you. It is the main factor in my decision. No, thank you.
Data	MercEdt	Patch/Data/MercEdt/017.edt	101	0x0000BB80	You've got Fox on your team. Obviously, you're more interested in the sizzle than the steak. Call me when you're looking for something more than a pretty face.
Data	MercEdt	Patch/Data/MercEdt/017.edt	102	0x0000BD60	You have a man on your team called Reaper. He's a seriously disturbed individual. Some other time, perhaps.
Data	MercEdt	Patch/Data/MercEdt/017.edt	103	0x0000BF40	What do you want me for? You've got Gumpy. You're clearly willing to settle for third-rate slobs. Someday, perhaps, you'll learn that just because something's cheap doesn't make it good value.
Data	MercEdt	Patch/Data/MercEdt/017.edt	106	0x0000C4E0	Well, my mind says no, but I've got a good feeling about Sidney Nettleson. So, I'm going to say yes, and I'm not sure why.
Data	MercEdt	Patch/Data/MercEdt/017.edt	107	0x0000C6C0	Listen this time. Please...
Data	MercEdt	Patch/Data/MercEdt/017.edt	108	0x0000C8A0	Sorry, your bank had some distressing news.
Data	MercEdt	Patch/Data/MercEdt/017.edt	109	0x0000CA80	This is Monica Sondergaard. Who am I speaking with?
Data	MercEdt	Patch/Data/MercEdt/017.edt	110	0x0000CC60	I think it's your turn to talk.
Data	MercEdt	Patch/Data/MercEdt/017.edt	111	0x0000CE40	You're freaking me out. What do you want?
Data	MercEdt	Patch/Data/MercEdt/017.edt	112	0x0000D020	And what are your specific needs in regards to duration?
Data	MercEdt	Patch/Data/MercEdt/017.edt	113	0x0000D200	I'll be happy to talk once you give me some idea of what you want.
Data	MercEdt	Patch/Data/MercEdt/017.edt	115	0x0000D5C0	Quite frankly, I'm disappointed to see that you've hired that sick man who goes by the name of Reaper. I'd prefer as much distance between the two of us as humanly possible. However, I will go.
Data	MercEdt	Patch/Data/MercEdt/017.edt	116	0x0000D7A0	Well, my time here is almost over.
Data	MercEdt	Patch/Data/MercEdt/017.edt	117	0x0000D980	I'm really getting quite good. My wages should reflect that.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	3	0x000003C0	$MERCNICK$ says you better start doing a better job.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	4	0x000005A0	$MERCNICK$ is thinking of quitting.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	5	0x00000780	$MERCNICK$ is thinking of quitting because of $MERCNICK2$.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	6	0x00000960	$MERCNICK$ is gone by the end of the day tomorrow, if you aren't doing a better job by then.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	7	0x00000B40	$MERCNICK$ is going to quit if we don't win a mission soon.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	8	0x00000D20	$MERCNICK$ says you better start paying your bills.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/240.edt	9	0x00000F00	$MERCNICK$ is thinking of quitting, because the team keeps changing.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	2	0x000001E0	$MERCNICK$ is worried about amount of death.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	3	0x000003C0	$MERCNICK$ wants out. Says you better get your act together.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	4	0x000005A0	$MERCNICK$ says there are better outfits to work for.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	5	0x00000780	$MERCNICK$ is worried about $MERCNICK2$.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	6	0x00000960	$MERCNICK$ wants out. Says you better get your act together tomorrow.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	7	0x00000B40	$MERCNICK$ says you better get your act together.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	8	0x00000D20	$MERCNICK$ is really worried about getting paid.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/snitch/249.edt	9	0x00000F00	$MERCNICK$ says there are better outfits to work for, considering the way personnel turns over around here.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	12	0x000014A0	이봐, regarde.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	19	0x000021C0	Je suis perdu, moi, la, la.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	22	0x00002760	Aie-oye!
Data	MercEdt	Patch/Data/MercEdt/032.EDT	29	0x00003480	Suivant, 다음!
Data	MercEdt	Patch/Data/MercEdt/032.EDT	36	0x000041A0	C'est fini la.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	39	0x00004740	Maudit bbite! Dat t'ing be out of my hair now.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	40	0x00004920	Christ d'imbecile.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	47	0x00005640	Je l'ai merite ca.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	58	0x00006AE0	Ce la... c'est un perde de temps, ok.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	67	0x00007BC0	Hey! It look like somebody got here first, en. Da box, she look, ah, moiti full.
Data	MercEdt	Patch/Data/MercEdt/032.EDT	91	0x0000A8C0	Ça fait mon affaire. 여기 남겠어.
Data	MercEdt	Patch/Data/MercEdt/149.EDT	17	0x00001E00	*losing second friend*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	18	0x00001FE0	*losing third friend*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	30	0x00003660	*against hated merc*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	31	0x00003840	*against hated merc*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	32	0x00003A20	*against hated merc*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	35	0x00003FC0	*personality trait remark*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	46	0x00005460	*hated nationality*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	50	0x00005BE0	*hated merc is hired*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	51	0x00005DC0	*hated merc is hired*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	53	0x00006180	*buddy merc 2 is victorious*
Data	MercEdt	Patch/Data/MercEdt/149.EDT	54	0x00006360	*buddy merc 3 is victorious*
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/175.EDT	93	0x0000AC80	I may speak openly...the reason why I am accepting in spite of my... misgivings.. is that you have employed Rudof Steiger. He is a true professional - if he is with us, my concerns are nothing.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/181.EDT	78	0x00009060	<gurgle>
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/187.EDT	93	0x0000AC80	Wally beats a hand, lad.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/187.EDT	101	0x0000BB80	Wally beats a hand, lad.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	56	0x00006720	Oh, we're really scared over here, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	57	0x00006900	It's like I'm seeing you in a whole new light, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	58	0x00006AE0	I gave it a shot, eh, but explosives are my specialty.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	59	0x00006CC0	I like what you've done with your hair, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	60	0x00006EA0	I'm keeping quiet, eh. That way no one knows I'm here.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	61	0x00007080	Where are they hiding, eh?
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	62	0x00007260	We're gonna have to get it back?
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	64	0x00007620	I wonder what's ese's doing here?
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	65	0x00007800	As far as the mission goes, eh, we are lucky.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	66	0x000079E0	He he, that's one bunch wiped out, eh!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	67	0x00007BC0	Bad news, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	68	0x00007DA0	We've done what we had to do, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	69	0x00007F80	Got one, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	70	0x00008160	The only thing left to do is... party, eh!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	71	0x00008340	We almost done it, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	74	0x000088E0	Oh, it's nice for you to inquire.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	75	0x00008AC0	This thing's seen better days, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	76	0x00008CA0	Those jerks wired this thing, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	77	0x00008E80	Slow, eh, on this loose turf. It's getting me the witties.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	78	0x00009060	I... I'm gonna need help... I can't swim much longer!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	79	0x00009240	Sorry for the delay, eh, but I'm all set now.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	81	0x00009600	I don't mean to throw the last cupple of missions in your face but who wouldn't, eh?
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	82	0x000097E0	Your guys have more led in them, er, than a pencil, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	83	0x000099C0	Forget it, eh. Last time I signed with you, you canned me.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	84	0x00009BA0	I just had my wisdom teeth out, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	85	0x00009D80	Bad news, eh. Seems to be run on explosive experts.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	86	0x00009F60	I'd rather go back on social assistance than stay here and try to get in with working with a team that's changing all the time, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	90	0x0000A6E0	Let me know how it turns out, eh?
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	91	0x0000A8C0	Alright. Let's stick around for now, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	92	0x0000AAA0	I can't wait to get there, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	96	0x0000B220	I'm leaving, eh. I might come back when you shake this looser thing, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	97	0x0000B400	I told you hosehead...
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	98	0x0000B5E0	I'm gonna have to see the cash, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	99	0x0000B7C0	See you hosehead. This kind of cash is going to get me one hell of a 'lonely man weekend', eh, he he.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	100	0x0000B9A0	Hey mister death, eh, I'm outta here.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	107	0x0000C6C0	I told you hosehead...
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	108	0x0000C8A0	I'm gonna have to see the cash, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	109	0x0000CA80	I'm listening, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	110	0x0000CC60	All the guys like me, eh. I usually entertain them with a couple of tricks I know, eh, that make use of small explosions.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	111	0x0000CE40	What's the deal, eh?
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	112	0x0000D020	It's gonna be fun working for you, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	113	0x0000D200	I get back to yous, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	116	0x0000D7A0	You're gonna have to dig deeper, eh.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/251.EDT	117	0x0000D980	Bad news for you, great news for me, eh. If you want me to join, eh, it's gonna cost you more.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	1	0x00000000	Watch out! A bad person!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	2	0x000001E0	This stranger does not see me.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	3	0x000003C0	There's baddies!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	4	0x000005A0	It is unbelievable.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	5	0x00000780	I really don't wanna touch you.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	6	0x00000960	Everyone makes mistakes.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	7	0x00000B40	Something really weird is going on!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	8	0x00000D20	Something really weird is going on!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	9	0x00000F00	I'm gonna look for a safer place.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	10	0x000010E0	Oh, don't believe everything you read in the newspaper.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	11	0x000012C0	Staying alive is awfully hard around here!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	12	0x000014A0	I see something.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	13	0x00001680	I see something.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	14	0x00001860	More bullets, please!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	15	0x00001A40	Say... goodbye to all the kids for me... I'm not gonna make it.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	19	0x000021C0	I'm lost without instructions.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	20	0x000023A0	My gun won't fire!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	21	0x00002580	I don't want to become... extinct.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	22	0x00002760	I've been bopped.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	23	0x00002940	Somebody's trying to hurt me!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	24	0x00002B20	I don't think I can make it.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	25	0x00002D00	I've been hurt!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	26	0x00002EE0	I'm really pooped...
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	27	0x000030C0	That hurts.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	28	0x000032A0	Sorry...
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	29	0x00003480	Sorry...
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	33	0x00003C00	No more mister nice Dyno for you!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	34	0x00003DE0	Oh no! Not again!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	35	0x00003FC0	I'm having a bad day.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	36	0x000041A0	We're all tied up, boys and girls! We're gonna have to do it again.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	37	0x00004380	I'm stopping this, before I lose more self-esteem.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	38	0x00004560	You deserve to be punished!
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	39	0x00004740	It was alright! But I still want my old job back.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	40	0x00004920	I should stick up for myself more often.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	41	0x00004B00	Maybe I can find a job as a team mascot...
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	42	0x00004CE0	I hear the Pirates are looking for a new mascot.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	43	0x00004EC0	I'm gonna look for a safer place.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	44	0x000050A0	I think it's broken.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	45	0x00005280	I can't believe those idiots replaced me with a woman! Those kids were lying. Kids do lie, you know. Especially that short, little, fat kid.
Data-1.13	MercEdt	Patch/Data-1.13/MercEdt/252.EDT	46	0x00005460	Those idiot producers are going to change their mind, and hire me back! I just know it! My replacement won't be able to have the job.
